Product_Name,Brand,Category,Price_INR,Rating,Value_Score
"Divine Face Oil",Becca,Powder,848.26,4.7,0.006
"Magic Exfoliator","Anastasia Beverly Hills",Serum,858.22,4.9,0.006
"Super Lip Liner","Yves Saint Laurent",Foundation,864.86,4.8,0.006
"Perfect Face Mask",Becca,"Setting Spray",830.00,4.6,0.006
"Perfect Blush",Tatcha,"Lip Liner",1005.13,5,0.005
"Divine Moisturizer",Morphe,"Lip Liner",939.56,4.3,0.005
"Magic Lip Gloss","Patrick Ta","Face Oil",952.01,4.8,0.005
"Super Lip Gloss","Bite Beauty",Contour,869.84,4.7,0.005
"Divine Face Mask",Clinique,Concealer,883.12,4.2,0.005
"Magic Foundation","Perricone MD","BB Cream",966.12,5,0.005
